State	Q42010	Q12011	Q22011	Q32011	Q42011	Q12012
Alaska	75.00	77.00	77.00	78.00	78.00	79.00
Arizona	26.34	20.92	22.61	25.03	23.51	25.87
California	26.66	27.31	27.43	26.36	26.07	26.41
Colorado	66.53	66.74	67.36	67.15	66.99	65.94
Connecticut	39.05	38.53	39.52	40.31	38.64	39.84
District of Columbia	33.19	28.66	29.51	40.24	37.91	36.46
Florida	37.53	37.95	39.47	41.81	40.37	40.70
Hawaii	41.70	41.05	42.71	42.94	43.07	41.08
Louisiana	53.72	54.60	56.19	59.49	55.10	54.86
Maryland	46.35	45.29	46.79	45.90	49.50	45.60
Michigan	15.63	14.91	19.23	24.61	22.94	42.16
Minnesota	53.58	51.73	52.02	52.46	52.80	53.98
Missouri	40.25	39.87	40.63	40.89	41.50	41.27
Montana	64.29	64.06	65.78	66.83	66.74	65.23
Nebraska	45.41	43.37	43.60	44.05	43.89	45.19
New Hampshire	55.76	55.94	56.43	53.34	52.48	52.53
New Jersey	30.37	31.09	30.39	31.09	31.27	33.34
New York	12.49	12.67	13.14	14.51	12.77	12.29
North Carolina	52.39	51.90	53.20	53.40	52.84	51.26
Ohio	55.45	55.93	57.01	57.01	57.51	56.45
Pennsylvania	45.31	45.36	45.53	45.59	45.51	45.27
South Carolina	30.83	26.17	25.56	26.41	29.66	22.80
Tennessee	32.68	32.49	33.82	34.28	33.85	34.00
Virginia	26.45	36.23	34.55	35.90	34.43	37.01
Washington	58.11	58.93	58.82	58.46	58.42	59.47
Wisconsin	57.35	57.10	57.20	56.88	56.60	58.14
Wyoming	59.31	59.46	59.37	59.11	58.54	58.81